689607a406bb32955676111c|170339|571|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676111d|170339|574|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676111e|170339|590|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676111f|170339|591|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761120|170339|602|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761121|170339|604|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761122|170339|607|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761123|170339|608|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761124|170339|620|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761125|170339|628|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761126|170339|640|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761127|170339|645|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761128|170339|654|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761129|170339|670|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676112a|170339|680|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676112b|170339|682|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676112c|170339|706|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676112d|170339|708|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676112e|170339|709|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676112f|170339|715|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761130|170339|718|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761131|170339|745|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761132|170339|751|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761133|170339|754|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761134|170339|760|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761135|170339|780|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761136|170339|781|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761137|170339|789|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761138|170339|790|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761139|170339|798|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676113a|170339|802|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676113b|170339|806|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676113c|170339|807|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
